List E,Category,Class,Order,Family,Subfamily,Genus,Species,Taxonomie,STATION 5,STATION 1,STATION 4,STATION 3,STATION 2
"Pholis gunnellus, Taurulus bubalis",NA,Actinopterygii,Perciformes,-,-,-,-,Perciformes,0,1,0,0,0
Anguilla_anguilla_1,DIA,Actinopterygii,Anguilliformes,Anguillidae,-,Anguilla,anguilla,Anguilla_anguilla_1,0,1,0,1,0
Anguilla_anguilla_2,DIA,Actinopterygii,Anguilliformes,Anguillidae,-,Anguilla,anguilla,Anguilla_anguilla_2,1,0,1,1,1
Atherina_presbyter,ER,Actinopterygii,Atheriniformes,Atherinidae,Atherininae,Atherina,presbyter,Atherina_presbyter,0,1,1,1,1
Belone_belone,MS,Actinopterygii,Beloniformes,Belonidae,,Belone,belone,Belone_belone,0,1,1,0,1
Coryphoblennius_galerita,NA,Actinopterygii,Blenniiformes,Blenniidae,Salariinae,Coryphoblennius,galerita,Coryphoblennius_galerita,0,1,0,0,0
Lipophrys_pholis,ER,Actinopterygii,Blenniiformes,Blenniidae,Salariinae,Lipophrys,pholis,Lipophrys_pholis,0,1,0,1,1
Parablennius_gattorugine,ER,Actinopterygii,Blenniiformes,Blenniidae,Salariinae,Parablennius,gattorugine,Parablennius_gattorugine,0,1,1,1,1
Callionymus_lyra,ER,Actinopterygii,Callionymiformes,Callionymidae,-,Callionymus,lyra,Callionymus_lyra,0,1,1,1,1
Lepomis_gibbosus,FW,Actinopterygii,Centrarchiformes,Centrarchidae,-,Lepomis,gibbosus,Lepomis_gibbosus,1,0,0,0,0
Sardina_pilchardus,MJ,Actinopterygii,Clupeiformes,Alosidae,-,Sardina,pilchardus,Sardina_pilchardus,0,1,1,1,1
"Clupea harengus, Sprattus sprattus",MJ,Actinopterygii,Clupeiformes,Clupeidae,-,-,-,Clupeidae,0,1,1,1,1
"Gobio gobio, Alburnus alburnus, Alburnoides bipunctatus, Leuciscus leuciscus",NA,Actinopterygii,Cypriniformes,Cyprinidae,-,-,-,Cyprinidae,1,0,0,0,0
