Station,Category,Class,Order,Family,Subfamily,Genus,Species,Taxonomie
1,-,Aves,Anseriformes,Anatidae,-,-,-,Anatidae 1
1,-,Aves,Anseriformes,Anatidae,-,-,-,Anatidae 2
1,-,Aves,Charadriiformes,Haematopodidae,-,Haematopus,ostralegus,Haematopus ostralegus 1
1,-,Aves,Charadriiformes,Laridae,-,-,-,Laridae 2
1,-,Aves,Passeriformes,Sturnidae,-,Sturnus,vulgaris,Sturnus vulgaris
1,-,Aves,Suliformes,Phalacrocidae,-,Phalacrocorax,carbo,Phalacrocorax carbo 1
1,-,Aves,Suliformes,Phalacrocoracidae,-,Phalacrocorax,carbo,Phalacrocorax carbo 2
1,-,Mammalia,Carnivora,Phocidae,-,-,-,Phocidae
1,-,Mammalia,Cetacea,Delphinidae,Delphininae,-,-,Delphininae 1
1,-,Mammalia,Cetacea,Delphinidae,Delphininae,-,-,Delphininae 2
1,-,Mammalia,Cetacea,Phocoenidae,-,Phocoena,phocoena,Phocoena phocoena
1,-,Mammalia,Rodentia,Cricetidae,Arvicolinae,Ondatra,zibethicus,Ondatra zibethicus
1,-,Mammalia,Rodentia,Myocastoridae,-,Myocastor,coypus,Myocastor coypus
1,DIA,Actinopterygii,Anguilliformes,Anguillidae,-,Anguilla,anguilla,Anguilla anguilla 1
1,DIA,Actinopterygii,Scorpaeniformes,Cyclopteridae,Cyclopterinae,Cyclopterus,lumpus,Cyclopterus lumpus
1,ER,Actinopterygii,Atheriniformes,Atherinidae,Atherininae,Atherina,presbyter,Atherina presbyter
1,ER,Actinopterygii,Blenniiformes,Blenniidae,Salariinae,Lipophrys,pholis,Lipophrys pholis
1,ER,Actinopterygii,Blenniiformes,Blenniidae,Salariinae,Parablennius,gattorugine,Parablennius gattorugine
1,ER,Actinopterygii,Callionymiformes,Callionymidae,-,Callionymus,lyra,Callionymus lyra
1,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobiinae,Aphia,minuta,Aphia minuta 2
1,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobiinae,Gobius,niger,Gobius niger
1,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobiinae,Gobius,paganellus,Gobius paganellus 2
1,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobiinae,Pomatoschistus,-,Pomatoschistus sp. 1
1,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobionellinae,Pomatoschistus,-,Pomatoschistus sp. 2
1,ER,Actinopterygii,Gobiiformes,Gobiidae,Gobionellinae,Pomatoschistus,-,Pomatoschistus sp. 3
1,ER,Actinopterygii,Mugiliformes,Mugilidae,-,Chelon,-,Chelon sp.
1,ER,Actinopterygii,Perciformes,Moronidae,-,Dicentrarchus,labrax,Dicentrarchus labrax
1,ER,Actinopterygii,Perciformes,Pholidae,Pholinae,Pholis,gunnellus,Pholis gunnellus
1,ER,Actinopterygii,Syngnathiformes,Syngnathidae,Nerophinae,Nerophis,lumbriciformis,Nerophis lumbriciformis
1,ER,Actinopterygii,Perciformes,Ammodytidae,-,Gymnammodytes,semisquamatus,Gymnammodytes semisquamatus
1,ER,Actinopterygii,Scorpaeniformes,-,-,-,-,Scorpaeniformes 1
1,MA,Actinopterygii,Perciformes,Labridae,-,Labrus,bergylta,Labrus bergylta
1,MA,Actinopterygii,Perciformes,Labridae,-,Symphodus,bailloni,Symphodus bailloni
1,MA,Actinopterygii,Perciformes,Labridae,-,Symphodus,melops,Symphodus melops
1,MA,Actinopterygii,Perciformes,Sparidae,-,Diplodus,-,Diplodus sp.
1,MA,Actinopterygii,Perciformes,Sparidae,-,Sparus,aurata,Sparus aurata
1,MA,Actinopterygii,Pleuronectiformes,Bothidae,-,Arnoglossus,laterna,Arnoglossus laterna
1,MA,Actinopterygii,Pleuronectiformes,Soleidae,-,Solea,solea,Solea solea
1,MA,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampinae,Hippocampus,hippocampus,Hippocampus hippocampus
1,MJ,Actinopterygii,Clupeiformes,Clupeidae,-,-,-,Clupeidae
1,MJ,Actinopterygii,Cypriniformes,Cyprinidae,Cyprininae,Cyprinus,carpio,Cyprinus carpio
1,MJ,Actinopterygii,Perciformes,Ammodytidae,-,-,-,Ammodytidae 3
1,MJ,Actinopterygii,Perciformes,Scombridae,Scombrinae,Scomber,scombrus,Scomber scombrus
1,MJ,Actinopterygii,Perciformes,Sparidae,-,Spondyliosoma,cantharus,Spondyliosoma cantharus 1
1,MJ,Actinopterygii,Pleuronectiformes,Pleuronectidae,-,-,-,Pleuronectidae
1,MJ,Actinopterygii,"Scorpae,iformes",Triglidae,Triglinae,-,-,Triglinae
1,MS,Actinopterygii,Beloniformes,Belonidae,,Belone,belone,Belone belone
1,NA,Actinopterygii,Perciformes,-,-,-,-,Perciformes
